Player,Nation,Age,league_name,Min,Sh/90,Gls/90,Ast/90,Fls/90,TklW/90,Min/90,Valor_de_Mercado,Performance_Score,sub_valorização,Cluster,pca_1,pca_2
Djaoui Cissé,France,22.0,Ligue 1,926,2.24,0.0,0.0,1.6522678185745139,1.8466522678185744,10.28888888888889,15000000.0,0.28835302168569443,52019569.319270186,1,0.8687146942599738,-1.17563253355994
Mamadou Coulibaly,France,21.0,Ligue 1,1100,0.57,0.24545454545454548,0.24545454545454548,2.1272727272727274,1.390909090909091,12.222222222222221,15000000.0,0.5758039646284118,26050532.68377558,0,0.636422804784523,0.7337262672001205
Yan Couto,Brazil,23.0,Bundesliga,987,0.73,0.0911854103343465,0.182370820668693,1.2765957446808511,1.3677811550151975,10.966666666666667,20000000.0,0.007130532588773752,2804839575.5862365,0,0.5393479701898521,0.7830957345610471
Adam Daghim,Denmark,20.0,Bundesliga,1060,1.53,0.16981132075471697,0.16981132075471697,1.1886792452830188,1.4433962264150944,11.777777777777779,7500000.0,0.29977248923661726,25018973.61929059,0,-0.1585780563213706,0.2324647395344765
Mikkel Damsgaard,Denmark,25.0,Premier League,1575,1.14,0.17142857142857143,0.22857142857142856,0.8571428571428571,1.4285714285714286,17.5,30000000.0,0.1797846988655633,166866258.30395582,0,-0.2517768683022898,0.9093251674697536
Pape Demba Diop,Senegal,22.0,Ligue 1,778,2.43,0.11568123393316196,0.23136246786632392,1.2724935732647815,1.6195372750642674,8.644444444444444,8000000.0,0.6536627241897912,12238727.563845597,0,-0.46851739619285215,0.3532021965896975
Nelson Deossa,Colombia,26.0,La Liga,602,2.39,0.0,0.0,2.2425249169435215,1.0465116279069766,6.688888888888889,9000000.0,0.21080643437648408,42693194.003398836,1,0.42189952365495664,-1.2194707379475052
Tyrhys Dolan,England,24.0,La Liga,1824,1.43,0.049342105263157895,0.19736842105263158,1.430921052631579,1.430921052631579,20.266666666666666,10000000.0,0.2303683064284761,43408749.037727386,0,0.3482773155721464,0.6319446542668373
Patrick Dorgu,Denmark,21.0,Premier League,1335,1.35,0.20224719101123595,0.20224719101123595,1.2808988764044944,2.0224719101123596,14.833333333333334,35000000.0,0.6097252945515079,57402899.818589196,0,0.3863005812505083,0.3032616852368106
Kamory Doumbia,Mali,23.0,Ligue 1,1515,2.26,0.29702970297029707,0.17821782178217824,1.5445544554455446,1.6633663366336635,16.833333333333332,9000000.0,0.881498362688807,10209888.504554428,2,-0.578495106568152,-0.4053456786267416
Ansu Fati,Spain,23.0,Ligue 1,671,3.62,1.0730253353204173,0.0,0.9388971684053651,0.9388971684053651,7.455555555555556,15000000.0,1.5158926142324585,9895160.025959324,2,-4.417320210518374,-3.361619907494017
Mattia Felici,Italy,24.0,Serie A,411,1.97,0.43795620437956206,0.21897810218978103,2.18978102189781,1.3138686131386863,4.566666666666666,2800000.0,1.1464407448205955,2442341.6671553897,2,-0.7895740522596932,-0.3833410170880237
Mateus Fernandes,Portugal,21.0,Premier League,2302,0.82,0.11728931364031277,0.11728931364031277,1.5247610773240658,2.0330147697654213,25.57777777777778,35000000.0,0.3058694559226115,114427901.58444393,1,1.2918597875290982,-0.007695417071798365
Alejandro Garnacho,Argentina,21.0,Premier League,1077,2.34,0.08356545961002786,0.3342618384401114,0.6685236768802229,0.9192200557103064,11.966666666666667,40000000.0,0.27431475916527465,145817892.26987964,0,-1.5328651964294362,1.543679622537455
Gvidas Gineitis,Lithuania,21.0,Serie A,1146,0.86,0.0,0.07853403141361257,2.4345549738219896,1.649214659685864,12.733333333333333,5500000.0,0.24795780365890688,22181193.408076208,1,1.9122551570590771,-0.25762393049052656
Jamie Gittens,England,21.0,Premier League,495,1.82,0.0,0.36363636363636365,1.0909090909090908,0.7272727272727273,5.5,35000000.0,0.1408829577683543,248433171.43829757,0,-0.9208527189668091,2.0397934169322296
Giorgi Gocholeishvili,Georgia,25.0,Bundesliga,858,1.36,0.0,0.2097902097902098,1.2587412587412588,1.3636363636363638,9.533333333333333,2500000.0,0.0804045232818938,31092778.092037663,0,0.3422128362071947,0.9132732632869759
Martial Godo,England,23.0,Ligue 1,1088,2.32,0.5790441176470589,0.08272058823529412,1.0753676470588236,0.6617647058823529,12.088888888888889,18000000.0,0.5763640045973863,31230263.958925974,2,-2.474248139877956,-1.2711720958595774
João Gomes,Brazil,25.0,Premier League,2297,0.63,0.0391815411406182,0.0391815411406182,2.194166303874619,2.233347845015237,25.522222222222222,35000000.0,0.327780469829333,106778784.03866959,1,2.3947962049414655,-0.5938357030530421
Evann Guessand,Côte d'Ivoire,24.0,Premier League,300,0.9,0.3,0.3,1.2,0.6,3.3333333333333335,28000000.0,0.19990051166771491,140069676.4925898,0,-1.1447894479469163,1.3646405267374668
Jack Hinshelwood,England,20.0,Premier League,1094,1.81,0.08226691042047532,0.16453382084095064,2.056672760511883,0.8226691042047533,12.155555555555555,22000000.0,0.2911454076756573,75563616.73582882,0,-0.08117570668326618,0.14034826190124583
Oscar Højlund,Denmark,21.0,Bundesliga,741,0.24,0.0,0.12145748987854252,2.307692307692308,1.8218623481781377,8.233333333333333,10000000.0,0.1838664195842235,54387310.21473614,1,2.299692745681246,0.29163782818158546
Emirhan İlkhan,Türkiye,21.0,Serie A,657,0.82,0.136986301369863,0.136986301369863,1.2328767123287672,1.9178082191780823,7.3,5000000.0,0.22112550565957556,22611593.289909933,1,0.9064503046382587,0.21249045847257084
Tim Iroegbunam,England,22.0,Premier League,1108,0.65,0.0,0.1624548736462094,1.787003610108303,2.9241877256317688,12.311111111111112,15000000.0,0.6138452800295717,24436125.010649886,1,2.636850793790427,0.31220840856175236
Ardon Jashari,Switzerland,23.0,Serie A,461,1.17,0.0,0.19522776572668116,1.366594360086768,1.5618221258134493,5.122222222222222,30000000.0,0.1224261813509818,245045623.97477257,0,0.7384980497747848,0.802775617757964
