Player,Nation,Age,league_name,Min,Sh/90,Gls/90,Ast/90,Fls/90,TklW/90,Min/90,Valor_de_Mercado,Performance_Score,sub_valorização,Cluster,pca_1,pca_2,images
Gvidas Gineitis,Lithuania,21.0,Serie A,1146,0.86,0.0,0.0785340314136125,2.4345549738219896,1.649214659685864,12.733333333333333,5500000.0,0.2479578036589068,22181193.408076208,1,1.912255157059077,-0.2576239304905265,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Lens_-_Torino_FC_%2802-08-2023%29_9_%28cropped%29.jpg/500px-Lens_-_Torino_FC_%2802-08-2023%29_9_%28cropped%29.jpg
Jamie Gittens,England,21.0,Premier League,495,1.82,0.0,0.3636363636363636,1.0909090909090908,0.7272727272727273,5.5,35000000.0,0.1408829577683543,248433171.4382976,0,-0.9208527189668092,2.0397934169322296,https://img.a.transfermarkt.technology/portrait/header/670882-1736780080.jpg?lm=1
Giorgi Gocholeishvili,Georgia,25.0,Bundesliga,858,1.36,0.0,0.2097902097902098,1.2587412587412588,1.3636363636363638,9.533333333333331,2500000.0,0.0804045232818938,31092778.092037663,0,0.3422128362071947,0.913273263286976,https://commons.wikimedia.org/wiki/Special:FilePath/%D0%9C%D0%B0%D1%82%D1%87_%C2%AB%D0%94%D0%B8%D0%BD%D0%B0%D0%BC%D0%BE%C2%BB_%E2%80%93_%C2%AB%D0%A8%D0%B0%D1%85%D1%82%D0%B0%D1%80%C2%BB_0-1._3_%D0%BB%D0%B8%D1%81%D1%82%D0%BE%D0%BF%D0%B0%D0%B4%D0%B0_2023_%D1%80%D0%BE%D0%BA%D1%83_%E2%80%94_1486586_(Giorgi_Gocholeishvili).jpg
Martial Godo,England,23.0,Ligue 1,1088,2.32,0.5790441176470589,0.0827205882352941,1.0753676470588236,0.6617647058823529,12.088888888888889,18000000.0,0.5763640045973863,31230263.958925974,2,-2.474248139877956,-1.2711720958595774,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Martial_Godo_29122024_%28cropped%29.jpg/500px-Martial_Godo_29122024_%28cropped%29.jpg
João Gomes,Brazil,25.0,Premier League,2297,0.63,0.0391815411406182,0.0391815411406182,2.194166303874619,2.233347845015237,25.522222222222226,35000000.0,0.327780469829333,106778784.0386696,1,2.394796204941465,-0.5938357030530421,https://commons.wikimedia.org/wiki/Special:FilePath/Jo%C3%A3o_Gomes.jpg
Evann Guessand,Côte d'Ivoire,24.0,Premier League,300,0.9,0.3,0.3,1.2,0.6,3.333333333333333,28000000.0,0.1999005116677149,140069676.4925898,0,-1.1447894479469165,1.3646405267374668,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Guessand_asse_ogcn_2425.png/500px-Guessand_asse_ogcn_2425.png
Jack Hinshelwood,England,20.0,Premier League,1094,1.81,0.0822669104204753,0.1645338208409506,2.056672760511883,0.8226691042047533,12.155555555555557,22000000.0,0.2911454076756573,75563616.73582882,0,-0.0811757066832661,0.1403482619012458,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Jack_Hinshelwood_24012026_%282%29.jpg/500px-Jack_Hinshelwood_24012026_%282%29.jpg
Oscar Højlund,Denmark,21.0,Bundesliga,741,0.24,0.0,0.1214574898785425,2.307692307692308,1.8218623481781375,8.233333333333333,10000000.0,0.1838664195842235,54387310.21473614,1,2.299692745681246,0.2916378281815854,https://upload.wikimedia.org/wikipedia/commons/8/8a/Oscar_H%C3%B8jlund%2C_Vejle_Boldklub_-_FC_K%C3%B8benhavn%2C_29._July_2023_%28cropped%29.jpg
Emirhan İlkhan,Türkiye,21.0,Serie A,657,0.82,0.136986301369863,0.136986301369863,1.2328767123287672,1.9178082191780823,7.3,5000000.0,0.2211255056595755,22611593.289909933,1,0.9064503046382588,0.2124904584725708,https://commons.wikimedia.org/wiki/Special:FilePath/Emirhan_%C4%B0lkhan_20220206_3_(cropped).jpg
Tim Iroegbunam,England,22.0,Premier League,1108,0.65,0.0,0.1624548736462094,1.787003610108303,2.9241877256317688,12.311111111111112,15000000.0,0.6138452800295717,24436125.01064989,1,2.636850793790427,0.3122084085617523,https://img.a.transfermarkt.technology/portrait/header/696589-1650877564.jpg?lm=1
Ardon Jashari,Switzerland,23.0,Serie A,461,1.17,0.0,0.1952277657266811,1.366594360086768,1.5618221258134493,5.122222222222222,30000000.0,0.1224261813509818,245045623.97477257,0,0.7384980497747848,0.802775617757964,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Ali_Maamar_RSCA_2025.jpg/500px-Ali_Maamar_RSCA_2025.jpg
Mohamed Kaba,France,24.0,Ligue 1,443,0.61,0.0,0.2031602708803611,1.4221218961625282,1.8284424379232505,4.922222222222223,2000000.0,0.1154006078091123,17330931.248718042,0,1.3552045513484168,0.9990420591331972,https://commons.wikimedia.org/wiki/Special:FilePath/Mohamed_Kaba.jpg
Yassine Kechta,Morocco,24.0,Ligue 1,1083,1.41,0.0831024930747922,0.0831024930747922,2.5761772853185594,1.329639889196676,12.033333333333331,5000000.0,0.432262423908893,11567047.523552123,1,1.1135096837987222,-0.5687286997558412,https://img.a.transfermarkt.technology/portrait/header/667967-1675949617.jpg?lm=1
Luca Kerber,Germany,24.0,Bundesliga,563,1.12,0.3197158081705151,0.0,1.438721136767318,1.438721136767318,6.255555555555556,2000000.0,0.2071881855875635,9653060.063865194,1,0.1333430175489282,-1.186964705787073,https://img.a.transfermarkt.technology/portrait/header/809498-1721852758.jpg?lm=1
Takefusa Kubo,Japan,24.0,La Liga,1179,1.91,0.1526717557251908,0.2290076335877862,0.4580152671755725,1.1450381679389314,13.1,30000000.0,0.1060410999251463,282909174.09548545,0,-1.1964040638667008,0.8352773954585492,https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Takefusa_Kubo_2019.png/500px-Takefusa_Kubo_2019.png
